"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0O980","2019-07-30 00:00:00","18.000","0.000","0.000","27.000","0.980","1007.900","-99.000","0.000","-99.000","-99.000","-99.000","34.800","","24.800",""
"C0T9I0","2019-07-30 00:00:00","152.000","212.000","1.200","25.000","0.900","995.100","-99.000","0.000","-99.000","-99.000","-99.000","30.500","","24.300",""
"C0AG90","2019-07-30 00:00:00","25.000","119.000","1.800","29.900","0.740","1007.000","-99.000","0.000","-99.000","-99.000","-99.000","34.700","","26.600",""
"C0R570","2019-07-30 00:00:00","37.000","32.000","1.300","27.800","0.870","1004.100","-99.000","0.500","-99.000","-99.000","-99.000","34.400","","25.400",""
"C0O900","2019-07-30 00:00:00","9.000","123.000","1.200","27.400","0.990","1008.100","-99.000","0.000","-99.000","-99.000","-99.000","34.400","","25.100",""
"C0AD00","2019-07-30 00:00:00","86.000","186.000","0.500","-99.000","-99.000","999.600","-99.000","0.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0V700","2019-07-30 00:00:00","24.000","105.000","1.900","30.500","0.690","1005.500","-99.000","0.500","-99.000","-99.000","-99.000","33.200","","27.500",""
"C0AH00","2019-07-30 00:00:00","38.000","30.000","0.300","29.200","0.810","1004.300","-99.000","0.000","-99.000","-99.000","-99.000","34.600","","26.200",""
"C0X080","2019-07-30 00:00:00","2.000","119.000","0.500","27.200","0.950","1008.600","-99.000","0.000","-99.000","-99.000","-99.000","35.500","","25.600",""
"CM0150","2019-07-30 00:00:00","11.000","350.000","0.800","27.000","0.830","1010.000","-99.000","5.500","-99.000","-99.000","-99.000","31.900","","25.500",""
"C0I480","2019-07-30 00:00:00","2165.000","203.000","0.500","15.500","0.780","789.900","-99.000","0.000","-99.000","-99.000","-99.000","25.300","","12.900",""
"C0A860","2019-07-30 00:00:00","362.000","213.000","0.800","25.300","0.890","968.900","-99.000","0.000","-99.000","-99.000","-99.000","33.300","","23.500",""
"C0U940","2019-07-30 00:00:00","25.000","235.000","0.900","27.200","0.870","1007.700","-99.000","0.000","-99.000","-99.000","-99.000","35.800","","25.000",""
"C0S970","2019-07-30 00:00:00","19.000","315.000","2.400","25.500","0.890","1008.900","-99.000","40.000","-99.000","-99.000","-99.000","31.100","","24.700",""
"C0V260","2019-07-30 00:00:00","126.000","358.000","1.300","25.800","0.920","995.600","-99.000","1.000","-99.000","-99.000","-99.000","36.800","","24.500",""
"C0H990","2019-07-30 00:00:00","3076.000","149.000","1.500","10.300","0.680","708.600","-99.000","0.000","-99.000","-99.000","-99.000","19.600","","9.300",""
"C0F9K0","2019-07-30 00:00:00","30.000","0.000","0.000","28.800","0.880","1003.800","-99.000","0.000","-99.000","-99.000","-99.000","31.200","","26.400",""
"C0AH90","2019-07-30 00:00:00","660.000","0.000","0.000","22.100","0.990","940.000","-99.000","0.000","-99.000","-99.000","-99.000","31.000","","20.100",""
"C0W150","2019-07-30 00:00:00","42.000","0.000","0.000","28.200","0.920","1005.300","-99.000","0.000","-99.000","-99.000","-99.000","34.400","","27.500",""
"C0F000","2019-07-30 00:00:00","273.000","0.000","0.000","26.200","1.000","977.300","-99.000","0.000","-99.000","-99.000","-99.000","31.400","","24.100",""
"C0K410","2019-07-30 00:00:00","20.000","155.000","0.800","28.700","0.860","1005.800","-99.000","0.000","-99.000","-99.000","-99.000","33.900","","26.200",""
"C0R140","2019-07-30 00:00:00","740.000","335.000","1.300","24.000","0.720","931.200","-99.000","0.000","-99.000","-99.000","-99.000","28.300","","21.500",""
"C0V800","2019-07-30 00:00:00","256.000","323.000","0.300","25.100","0.920","979.300","-99.000","0.500","-99.000","-99.000","-99.000","33.900","","23.300",""
"C0S830","2019-07-30 00:00:00","288.000","198.000","1.000","25.700","0.940","980.600","-99.000","0.000","-99.000","-99.000","-99.000","35.400","","25.300",""
"C0S920","2019-07-30 00:00:00","98.000","309.000","0.500","26.600","0.860","995.500","-99.000","4.500","-99.000","-99.000","-99.000","32.900","","24.800",""
"C0V640","2019-07-30 00:00:00","35.000","96.000","1.000","29.300","0.810","1005.100","-99.000","0.000","-99.000","-99.000","-99.000","33.900","","26.000",""
"C0AH80","2019-07-30 00:00:00","68.000","53.000","0.900","29.300","0.750","1000.800","-99.000","0.000","-99.000","-99.000","-99.000","33.900","","24.400",""
